hectad,east,north,longitude,latitude
B60,160000,4e+05,-8.62341003270796,54.8461748528257
B61,160000,410000,-8.62479782234112,54.9359962250608
B70,170000,4e+05,-8.46775189754201,54.8468737145699
B71,170000,410000,-8.46879300216566,54.9366974063554
B72,170000,420000,-8.46983991067205,55.0265197491448
B73,170000,430000,-8.47089266719035,55.1163407444085
B80,180000,4e+05,-8.3120880022512,54.8473730539172
B81,180000,410000,-8.31278237818816,54.9371984033188
B82,180000,420000,-8.31348062568767,55.0270224111087
B83,180000,430000,-8.31418277418757,55.1168450788154
B84,180000,440000,-8.31488885343055,55.2066664079798
B90,190000,4e+05,-8.15642026459,54.8476728574074
B91,190000,410000,-8.15676788270395,54.9374992023966
B92,190000,420000,-8.15711743975931,55.0273242102089
B93,190000,430000,-8.15746895049882,55.1171478824075
B94,190000,440000,-8.15782242981781,55.2069702205684
C00,2e+05,4e+05,-8.00075060260998,54.8477731169564
C01,2e+05,410000,-8.00075144830921,54.9375997954485
C02,2e+05,420000,-8.00075230017805,55.0274251382479
C03,2e+05,430000,-8.0007531582621,55.1172491469295
C04,2e+05,440000,-8.00075402260745,55.2070718230813
C10,210000,4e+05,-7.8450809345115,54.847673829857
C11,210000,410000,-7.84473500775086,54.9375001797482
C12,210000,420000,-7.84438715438755,55.0273251924804
C13,210000,430000,-7.84403735977005,55.1171488696171
C14,210000,440000,-7.84368560909518,55.2069712127345
C20,220000,4e+05,-7.68941317849538,54.847374998779
C21,220000,410000,-7.68872049377629,54.9372003579842
C22,220000,420000,-7.68802394983197,55.0270243756138
C23,220000,430000,-7.68732351731578,55.1168470531965
C24,220000,440000,-7.68661916657719,55.2066683922736
C30,230000,4e+05,-7.53374925261459,54.8468766317693
C31,230000,410000,-7.53270983898309,54.9367003382595
C32,230000,420000,-7.53166463380382,55.0265226958077
C33,230000,430000,-7.53061359303876,55.1163437058847
C34,230000,440000,-7.52955667219403,55.2061633699734
C35,230000,450000,-7.52849382631393,55.2959816895684
C40,240000,4e+05,-7.37809107462593,54.8461787422506
C41,240000,410000,-7.37670497566895,54.9360001340907
C42,240000,420000,-7.37531115329173,55.0258201666734
C43,240000,430000,-7.37390954877074,55.1156388413887
C44,240000,440000,-7.37250010277455,55.2054561596374
C45,240000,450000,-7.37108275535602,55.2952721228316
C50,250000,4e+05,-7.22244056184184,54.8452813490205
C51,250000,410000,-7.22070783568146,54.9350997644067
C52,250000,420000,-7.21896545482852,55.0249168072725
C53,250000,430000,-7.21721334588169,55.1147324789037
C54,250000,440000,-7.21545143467987,55.2045467805961
C55,250000,450000,-7.2136796462924,55.2943597136553
C60,260000,4e+05,-7.06679963098222,54.8441844762499
C61,260000,410000,-7.06472035026806,54.9339992535471
C62,260000,420000,-7.06262948433912,55.0238126421149
C63,260000,430000,-7.06052694512591,55.1136246431119
C64,260000,440000,-7.05841264364745,55.2034352577053
C70,270000,4e+05,-6.9111701980264,54.8428881534802
C71,270000,410000,-6.90874444992615,54.9326986312596
C72,270000,420000,-6.90630518698876,55.0225077011567
C73,270000,430000,-6.90385230648817,55.1123153641797
C80,280000,4e+05,-6.75555417806528,54.841392415621
C81,280000,410000,-6.75278206425324,54.9311979326976
C82,280000,420000,-6.74999450703123,55.0210020197973
C83,280000,430000,-6.74719138903008,55.1108046777549
C84,280000,440000,-6.74437259166627,55.2006059074106
C90,290000,4e+05,-6.59995348515356,54.8396973029466
C91,290000,410000,-6.59683512179743,54.9294971984164
C92,290000,420000,-6.59369938765738,55.019295638876
C93,290000,430000,-6.59054615073656,55.1090926249635
C94,290000,440000,-6.5873752776727,55.1988881573208
D00,3e+05,4e+05,-6.44437003216228,54.8378028610922
D01,3e+05,410000,-6.44090554990793,54.9275964743699
D02,3e+05,420000,-6.43742177084378,55.017388604668
D03,3e+05,430000,-6.43391854836264,55.1071792524055
D04,3e+05,440000,-6.43039573434107,55.1969684180026
D05,3e+05,450000,-6.4268531791198,55.2867561018802
D10,310000,4e+05,-6.28880573063151,54.8357091410497
D11,310000,410000,-6.28499527458593,54.9254958119056
D12,310000,420000,-6.28116359720164,55.0152809688805
D13,310000,430000,-6.27731053728037,55.1050646121508
D14,310000,440000,-6.27343593195703,55.194846741892
D15,310000,450000,-6.26953961667826,55.2846273582777
D20,320000,4e+05,-6.13326249062334,54.8334161991628
D21,320000,410000,-6.12910622033567,54.9231952677605
D22,320000,420000,-6.12492680582601,55.012972788647
D23,320000,430000,-6.1207240713261,55.1027487617338
D24,320000,440000,-6.1164978392507,55.1925231869281
D30,330000,4e+05,-5.97774222057512,54.8309240971218
D31,330000,410000,-5.97324031001588,54.920694904055
D32,330000,420000,-5.96871333414524,55.0104641265226
D40,340000,4e+05,-5.82224682715306,54.8282329019578
F50,50000,3e+05,-10.2843222341538,53.9277143123615
F51,50000,310000,-10.2892389791523,54.0174831627064
F52,50000,320000,-10.2941825622181,54.1072503556149
F60,60000,3e+05,-10.132203926189,53.9305119299944
F61,60000,310000,-10.1367938280344,54.0202899558185
F62,60000,320000,-10.1414087880549,54.1100663636544
F63,60000,330000,-10.1460489914162,54.1998411528976
F64,60000,340000,-10.1507146251503,54.2896143229366
F70,70000,3e+05,-9.98006074367916,53.9331169562228
F71,70000,310000,-9.98432361905297,54.022903527043
F72,70000,320000,-9.98860977086624,54.1126885166231
F73,70000,330000,-9.99291937115823,54.2024719246402
F74,70000,340000,-9.99725259370281,54.2922537507669
F80,80000,3e+05,-9.82789445534228,53.9355293234345
F81,80000,310000,-9.83183013392188,54.0253238083085
F82,80000,320000,-9.83578730549223,54.1151167459868
F83,80000,330000,-9.83976612894473,54.2049081364069
F84,80000,340000,-9.84376676477319,54.2946979795048
F90,90000,3e+05,-9.6757068315884,53.9377489689999
F91,90000,310000,-9.67931515606828,54.0275507365605
F92,90000,320000,-9.68294318850762,54.1173509882614
F93,90000,330000,-9.68659107463011,54.2071497242804
F94,90000,340000,-9.69025896162947,54.2969469447957
G00,1e+05,3e+05,-9.52349964439054,53.9397758352779
G01,1e+05,310000,-9.52678047050178,54.0295842537663
G02,1e+05,320000,-9.53007921808941,54.1193911850192
G03,1e+05,330000,-9.53339601969128,54.209196629434
G04,1e+05,340000,-9.53673100918249,54.2990005874104
G10,110000,3e+05,-9.37127466715553,53.9416098696207
G11,110000,310000,-9.37422786368373,54.0314243069203
G12,110000,320000,-9.37719719388457,54.1212372828939
G13,110000,330000,-9.38018277709349,54.2110487981371
G14,110000,340000,-9.3831847338502,54.3008588532503
G20,120000,3e+05,-9.21903367459455,53.9432510243786
G21,120000,310000,-9.22165912339611,54.0330708480494
G22,120000,320000,-9.22429891687721,54.1228892335852
G23,120000,330000,-9.22695316115596,54.2127061817595
G30,130000,3e+05,-9.06677844259341,53.9446992569045
G31,130000,310000,-9.06907603861025,54.0345238342166
G32,130000,320000,-9.0713861892557,54.1243469938638
G33,130000,330000,-9.07370898741729,54.2141687367765
G40,140000,3e+05,-8.91451074808265,53.9459545295575
G41,140000,310000,-8.91648039935522,54.0357832275251
G42,140000,320000,-8.91846081427941,54.1256105255746
G43,140000,330000,-8.92045207250057,54.2154364247725
G48,140000,380000,-8.93057385750826,54.6645449759714
G50,150000,3e+05,-8.76223236890743,53.9470168097063
G51,150000,310000,-8.76387399658619,54.0368489951218
G52,150000,320000,-8.7655245961454,54.1266797956406
G53,150000,330000,-8.7671842339783,54.2165092124445
G54,150000,340000,-8.76885297714851,54.3063372467256
G55,150000,350000,-8.77053089339851,54.3961638996867
G57,150000,370000,-8.77391451955344,54.5758130665126
G58,150000,380000,-8.77562036841519,54.6656355828349
G59,150000,390000,-8.77733566828811,54.7554567227524
G60,160000,3e+05,-8.60994508369723,53.9478860697321
G61,160000,310000,-8.6112586220524,54.0377211092003
G62,160000,320000,-8.61257933985481,54.1275547760659
G63,160000,330000,-8.6139072902372,54.217387071605
G64,160000,340000,-8.61524252686894,54.3072179971051
G65,160000,350000,-8.61658510396269,54.397047553865
G67,160000,370000,-8.61929249914456,54.5767025664178
G68,160000,380000,-8.62065742843673,54.6665280248655
G69,160000,390000,-8.62202992061318,54.7563521198829
G70,170000,3e+05,-8.45765067173539,53.9485622870312
G71,170000,310000,-8.45863606816522,54.0383995470031
G72,170000,320000,-8.45962685107912,54.1282354439379
G73,170000,330000,-8.46062306034278,54.218069979185
G74,170000,340000,-8.46162473622453,54.3079031541061
G75,170000,350000,-8.46263191940035,54.3977349700748
G77,170000,370000,-8.4646629724075,54.5773945307119
G78,170000,380000,-8.46568692567585,54.6672222781885
G79,170000,390000,-8.466716553123,54.7570486723297
G80,180000,3e+05,-8.30535091282863,53.9490454440171
G81,180000,310000,-8.30600812786585,54.0388842908241
G82,180000,320000,-8.30666893602637,54.1287217814297
G83,180000,330000,-8.30733336390383,54.2185579172358
G84,180000,340000,-8.30800143836043,54.3083926996568
G85,180000,350000,-8.30867318653038,54.3982261301201
G86,180000,360000,-8.30934863582325,54.4880582100659
G87,180000,370000,-8.31002781392752,54.5778889409467
G88,180000,380000,-8.31071074881407,54.6677183242281
G89,180000,390000,-8.31139746873979,54.757546361388
G90,190000,3e+05,-8.15304758717634,53.9493355281216
G91,190000,310000,-8.15337659449313,54.0391753280098
G92,190000,320000,-8.1537074013072,54.1290137758016
G93,190000,330000,-8.15404002093678,54.2188508729304
G94,190000,340000,-8.15437446683462,54.3086866208425
G95,190000,350000,-8.15471075258967,54.3985210209975
G96,190000,360000,-8.15504889192882,54.4883540748678
G97,190000,370000,-8.15538889871863,54.578185783939
G98,190000,380000,-8.15573078696709,54.6680161497094
G99,190000,390000,-8.15607457082545,54.7578451736907
H00,2e+05,3e+05,-8.0007424752399,53.9494325317966
H01,2e+05,310000,-8.00074326165115,54.0392726509606
H02,2e+05,320000,-8.0007440538008,54.1291114194022
H03,2e+05,330000,-8.00074485173004,54.2189488385652
H04,2e+05,340000,-8.00074565548043,54.3087849099068
H05,2e+05,350000,-8.00074646509398,54.3986196348971
H06,2e+05,360000,-8.00074728061314,54.4884530150195
H07,2e+05,370000,-8.00074810208077,54.5782850517705
H08,2e+05,380000,-8.00074892954021,54.6681157466597
H09,2e+05,390000,-8.0007497630352,54.7579451012097
H10,210000,3e+05,-7.84843735761187,53.9493364525143
H11,210000,310000,-7.84810992307682,54.0391762571315
H12,210000,320000,-7.8477807005209,54.1290147096691
H13,210000,330000,-7.84744967670819,54.2188518115604
H14,210000,340000,-7.84711683826912,54.308687564252
H15,210000,350000,-7.84678217169873,54.3985219692035
H16,210000,360000,-7.846445663355,54.4883550278876
H17,210000,370000,-7.84610729945715,54.5781867417898
H18,210000,380000,-7.84576706608377,54.6680171124089
H19,210000,390000,-7.84542494917118,54.7578461412564
H20,220000,3e+05,-7.69613401488524,53.9490472927674
H21,220000,310000,-7.6954783725075,54.0388861490324
H22,220000,320000,-7.69481914848162,54.1287236491292
H23,220000,330000,-7.69415631629627,54.2185597944601
H24,220000,340000,-7.69348984917238,54.3083945864398
H25,220000,350000,-7.69281972005976,54.398228026496
H26,220000,360000,-7.69214590163367,54.488060116069
H27,220000,370000,-7.69146836629137,54.5778908566118
H28,220000,380000,-7.6907870861486,54.6677202495901
H29,220000,390000,-7.69010203303597,54.7575482964822
H30,230000,3e+05,-7.5438342275226,53.9485650600693
H31,230000,310000,-7.54285040354851,54.0384023342275
H32,230000,320000,-7.54186120456343,54.1282382453986
H33,230000,330000,-7.54086659078394,54.2180727949323
H34,230000,340000,-7.53986652202486,54.3079059841908
H35,230000,350000,-7.53886095769415,54.3977378145483
H36,230000,360000,-7.53784985678784,54.4875682873912
H37,230000,370000,-7.53683317788477,54.577397404118
H38,230000,380000,-7.53581087914136,54.6672251661394
H39,230000,390000,-7.53478291828619,54.7570515748782
H40,240000,3e+05,-7.39153977572542,53.947889766953
H41,240000,310000,-7.39022780954075,54.0377248253352
H42,240000,320000,-7.38890867537905,54.1275585111814
H43,240000,330000,-7.38758232018977,54.2173908257683
H44,240000,340000,-7.38624869038665,54.3072217703839
H45,240000,350000,-7.38490773184097,54.3970513463277
H46,240000,360000,-7.38355938987469,54.4868795549106
H47,240000,370000,-7.38220360925355,54.576706397455
H48,240000,380000,-7.38084033417999,54.6665318752946
H49,240000,390000,-7.37946950828602,54.7563559897744
H50,250000,3e+05,-7.23925243930324,53.9470214309703
H51,250000,310000,-7.23761238342836,54.0368536400265
H52,250000,320000,-7.23596336713946,54.1266844642694
H53,250000,330000,-7.23430532412553,54.2165139048812
H54,250000,340000,-7.23263818740596,54.306341963055
H55,250000,350000,-7.23096188932216,54.396168639994
H56,250000,360000,-7.22927636152899,54.4859939369125
H57,250000,370000,-7.22758153498612,54.5758178550345
H58,250000,380000,-7.22587733994919,54.6656403955948
H59,250000,390000,-7.22416370596088,54.7554615598383
H60,260000,3e+05,-7.08697399754313,53.9459600746898
H61,260000,310000,-7.08500591762641,54.0357888010237
H62,260000,320000,-7.08302708551996,54.1256161275395
H63,260000,330000,-7.08103742166056,54.2154420553044
H64,260000,340000,-7.07903684568169,54.3052665853953
H65,260000,350000,-7.07702527640344,54.3950897188981
H66,260000,360000,-7.07500263182226,54.4849114569082
H67,260000,370000,-7.07296882910052,54.5747318005302
H68,260000,380000,-7.07092378455602,54.6645507508777
H69,260000,390000,-7.06886741365118,54.7543683090737
H70,270000,3e+05,-6.93470622907907,53.9447057256954
H71,270000,310000,-6.93241020388873,54.034530336098
H72,270000,320000,-6.93010163552627,54.1243535289523
H73,270000,330000,-6.92778043118623,54.2141753051897
H74,270000,340000,-6.92544649712627,54.3039956657495
H75,270000,350000,-6.9230997386554,54.3938146115791
H76,270000,360000,-6.92074006012203,54.4836321436338
H77,270000,370000,-6.91836736490186,54.5734482628767
H78,270000,380000,-6.91598155538552,54.6632629702785
H79,270000,390000,-6.91358253296609,54.7530762668176
H80,280000,3e+05,-6.78245091176153,53.9432584165835
H81,280000,310000,-6.77982703317585,54.0330782780675
H82,280000,320000,-6.77718882136092,54.1228967015496
H83,280000,330000,-6.77453617028061,54.2127136878045
H84,280000,340000,-6.77186897282853,54.302529237613
H85,280000,350000,-6.76918712081458,54.3923433517627
H86,280000,360000,-6.76649050495129,54.4821560310472
H87,280000,370000,-6.76377901483995,54.5719672762663
H88,280000,380000,-6.76105253895657,54.661777088226
H89,280000,390000,-6.75831096463756,54.7515854677384
H90,290000,3e+05,-6.63020982252718,53.9416181849602
H91,290000,310000,-6.62725819552308,54.0314326647937
H92,290000,320000,-6.62429044628958,54.121245683451
H93,290000,330000,-6.62130645557313,54.2110572415288
H94,290000,340000,-6.61830610291676,54.3008673396288
H95,290000,350000,-6.6152892666449,54.3906759783572
H96,290000,360000,-6.61225582384802,54.4804831583246
H97,290000,370000,-6.60920565036713,54.570288880146
H98,290000,380000,-6.60613862077786,54.6600931444406
H99,290000,390000,-6.60305460837448,54.7498959518317
J00,3e+05,3e+05,-6.47798473726881,53.9397850734377
J01,3e+05,310000,-6.47470547990879,54.0295935391786
J02,3e+05,320000,-6.47140831250773,54.1194005178505
J03,3e+05,330000,-6.46809310260961,54.209206009852
J04,3e+05,340000,-6.46475971642196,54.299010015584
J05,3e+05,350000,-6.46140801879908,54.3888125354504
J06,3e+05,360000,-6.45803787322501,54.4786135698574
J07,3e+05,370000,-6.45464914179622,54.5684131192135
J08,3e+05,380000,-6.45124168520407,54.6582111839293
J09,3e+05,390000,-6.44781536271697,54.7480077644174
J10,310000,3e+05,-6.32577743070536,53.9377591296308
J11,310000,310000,-6.32217067412281,54.0275609491604
J12,310000,320000,-6.31854422100748,54.1173612530132
J13,310000,330000,-6.31489792571735,54.2071600413684
J14,310000,340000,-6.31123164114127,54.2969573144058
J15,310000,350000,-6.30754521868044,54.3867530723056
J16,310000,360000,-6.30383850822976,54.4765473152481
J17,310000,370000,-6.30011135815874,54.5663400434138
J18,310000,380000,-6.29636361529228,54.6561312569828
J19,310000,390000,-6.29259512489103,54.7459209561349
J20,320000,3e+05,-6.17358967625224,53.9355404061525
J21,320000,310000,-6.16965556463519,54.0253349477094
J22,320000,320000,-6.16569997144455,54.1151279422699
J23,320000,330000,-6.16172273787051,54.2049193897733
J24,320000,340000,-6.15772370350165,54.2947092901572
J25,320000,350000,-6.15370270630482,54.3844976433568
J26,320000,360000,-6.14965958260476,54.4742844493054
J27,320000,370000,-6.14559416706335,54.5640697079337
J28,320000,380000,-6.1415062926586,54.6538534191698
J29,320000,390000,-6.1373957906633,54.7436355829388
J31,330000,310000,-6.01716193646505,54.0229155928234
J32,330000,320000,-6.0128773620056,54.1127006440134
J33,330000,330000,-6.00856935055571,54.2024841138581
J34,330000,340000,-6.00423772842381,54.2922660020316
J35,330000,350000,-5.99988232016279,54.3820463082037
J36,330000,360000,-5.99550294854795,54.4718250320391
J37,330000,370000,-5.99109943455458,54.5616021731973
J38,330000,380000,-5.98667159733513,54.6513777313325
J39,330000,390000,-5.98221925419623,54.7411517060931
J43,340000,330000,-5.85543957363799,54.1998542775044
J44,340000,340000,-5.85077553918645,54.2896275143482
J45,340000,350000,-5.8460858970822,54.3793991316069
J46,340000,360000,-5.84137045657352,54.4691691286552
J47,340000,370000,-5.83662902497182,54.5589375048602
J48,340000,380000,-5.83186140762717,54.6487042595805
J49,340000,390000,-5.82706740790345,54.738469392166
J53,350000,330000,-5.70233521522695,54.1970299496788
J54,350000,340000,-5.69733895729078,54.2867938965454
J55,350000,350000,-5.69231527209099,54.3765561834808
J56,350000,360000,-5.68726395537296,54.4663168095492
J57,350000,370000,-5.68218480080873,54.5560757738035
J58,350000,380000,-5.67707759997079,54.6458330752851
J64,360000,340000,-5.54392980232536,54.2837652231747
J65,360000,350000,-5.53857227828034,54.3735175388884
J66,360000,360000,-5.53318529167655,54.4632681503
J67,360000,370000,-5.52776862257284,54.553017056127
J68,360000,380000,-5.52232204879074,54.6427642550721
L46,40000,260000,-10.4157223392016,53.5656710247411
L54,50000,240000,-10.2553745061029,53.3890664536625
L55,50000,250000,-10.2601342775291,53.4788452301309
L56,50000,260000,-10.2649197380073,53.5686223544017
L63,60000,230000,-10.1007610697036,53.3020204949148
L64,60000,240000,-10.1051805969422,53.3918098302899
L65,60000,250000,-10.1096239365607,53.481597551726
L66,60000,260000,-10.114091261287,53.5713836586622
L67,60000,270000,-10.1185827455607,53.6611681505321
L68,60000,280000,-10.1230985655547,53.7509510267638
L69,60000,290000,-10.1276388991964,53.8407322867792
L71,70000,210000,-9.94271475017577,53.1249667144234
L72,70000,220000,-9.9467756035207,53.2147675024909
L73,70000,230000,-9.95085825957277,53.3045667120626
L74,70000,240000,-9.9549628756878,53.3943643428451
L75,70000,250000,-9.95908961077426,53.4841603945431
L76,70000,260000,-9.96323862531222,53.5739548668584
L77,70000,270000,-9.96741008137275,53.6637477594898
L78,70000,280000,-9.97160414263753,53.7535390721333
L79,70000,290000,-9.97582097441871,53.8433288044813
L80,80000,2e+05,-9.78968593487433,53.0374993916919
L81,80000,210000,-9.79341508383357,53.1273093453668
L82,80000,220000,-9.79716422078618,53.2171177524095
L83,80000,230000,-9.80093348964213,53.3069246127657
L84,80000,240000,-9.80472303572829,53.3967299263811
L85,80000,250000,-9.80853300580582,53.4865336932013
L86,80000,260000,-9.81236354808771,53.5763359131715
L87,80000,270000,-9.8162148122567,53.6661365862363
L88,80000,280000,-9.82008694948341,53.7559357123398
L89,80000,290000,-9.82398011244468,53.8457332914251
L90,90000,2e+05,-9.64067648078454,53.0396478827228
L92,90000,220000,-9.64753270638903,53.219280236545
L93,90000,230000,-9.65098844272488,53.3090941372628
L94,90000,240000,-9.65446277202395,53.3989065207381
L95,90000,250000,-9.65795582888249,53.4887173871386
L96,90000,260000,-9.66146774922857,53.5785267366335
L97,90000,270000,-9.66499867033849,53.6683345693939
L98,90000,280000,-9.66854873085337,53.7581408855923
L99,90000,290000,-9.6721180707961,53.8479456854026
M00,1e+05,2e+05,-9.49164882990577,53.0416097673227
M02,1e+05,220000,-9.49788273253053,53.2212549002602
M03,1e+05,230000,-9.50102480306834,53.3110752305528
M04,1e+05,240000,-9.50418378098676,53.4008940705483
M05,1e+05,250000,-9.50735978870098,53.490711420617
M06,1e+05,260000,-9.51055294983774,53.580527281133
M07,1e+05,270000,-9.51376338925023,53.670341652474
M08,1e+05,280000,-9.51699123303326,53.7601545350215
M09,1e+05,290000,-9.5202366085386,53.8499659291601
M10,110000,2e+05,-9.34260463196572,53.043384996243
M11,110000,210000,-9.34540280064732,53.1332140784463
M12,110000,220000,-9.34821597271162,53.2230416936512
M13,110000,230000,-9.35104425623548,53.3128678424
M14,110000,240000,-9.3538877603605,53.4026925252408
M15,110000,250000,-9.35674659530613,53.4925157427275
M16,110000,260000,-9.35962087238286,53.5823374954196
M17,110000,270000,-9.36251070400568,53.6721577838819
M18,110000,280000,-9.3654162037077,53.7619766086849
M19,110000,290000,-9.36833748615396,53.8517939704042
M20,120000,2e+05,-9.19354553784608,53.044973524911
M21,120000,210000,-9.19603314993723,53.1348077709779
M22,120000,220000,-9.19853410161557,53.2246405715525
M23,120000,230000,-9.201048488986,53.3144719273384
M24,120000,240000,-9.20357640910038,53.4043018390463
M25,120000,250000,-9.20611795996916,53.4941303073946
M26,120000,260000,-9.20867324057315,53.5839573331087
M27,120000,270000,-9.21124235087549,53.673782916921
M28,120000,280000,-9.21382539183375,53.7636070595712
M29,120000,290000,-9.21642246541225,53.853429761806
M30,130000,2e+05,-9.04447319946771,53.046375313434
M31,130000,210000,-9.04665015980094,53.1362141167421
M32,130000,220000,-9.04883879499034,53.2260514935406
M33,130000,230000,-9.0510391891574,53.3158874446753
M34,130000,240000,-9.05325142725263,53.4057219710007
M35,130000,250000,-9.05547559506572,53.4955550733802
M36,130000,260000,-9.05771177923586,53.5853867526856
M37,130000,270000,-9.05996006726219,53.6752170097975
M38,130000,280000,-9.06222054751446,53.7650458456049
M39,130000,290000,-9.06449330924373,53.8548732610053
M40,140000,2e+05,-8.8953892696757,53.0475903266026
M41,140000,210000,-8.89725549495017,53.1374330802965
M42,140000,220000,-8.89913172953081,53.2272744239377
M43,140000,230000,-8.90101804554569,53.3171143584954
M44,140000,240000,-8.90291451583379,53.4069528849489
M45,140000,250000,-8.90482121395373,53.4967900042871
M46,140000,260000,-8.90673821419262,53.5866257175091
M47,140000,270000,-8.908665591575,53.6764600256237
M48,140000,280000,-8.91060342187199,53.7662929296496
M49,140000,290000,-8.91255178161051,53.8561244306148
M50,150000,2e+05,-8.74629540212424,53.0486185338936
M51,150000,210000,-8.74785082091561,53.1384646309156
M52,150000,220000,-8.74941458276085,53.2283093318143
M53,150000,230000,-8.750986747786,53.3181526376634
M54,150000,240000,-8.75256737670982,53.4079945495476
M55,150000,250000,-8.754156530851,53.4978350685625
M56,150000,260000,-8.7557542721356,53.5876741958147
M57,150000,270000,-8.75736066310445,53.6775119324215
M58,150000,280000,-8.7589757669208,53.7673482795112
M59,150000,290000,-8.76059964737803,53.8571832382229
M60,160000,2e+05,-8.59719325116133,53.049459909473
M61,160000,210000,-8.59843780393025,53.1393087425941
M62,160000,220000,-8.5996890329152,53.2291561909924
M63,160000,230000,-8.60094698623308,53.319002255827
M64,160000,240000,-8.60221171247512,53.4088469382688
M65,160000,250000,-8.60348326071275,53.4986902395007
M66,160000,260000,-8.60476168050347,53.5885321607173
M67,160000,270000,-8.6060470218968,53.6783727031249
M68,160000,280000,-8.60733933544045,53.7682118679415
M69,160000,290000,-8.6086386721864,53.8580496563968
M70,170000,2e+05,-8.44808447171342,53.0501144321976
M71,170000,210000,-8.44901811081255,53.139965394049
M72,170000,220000,-8.44995675882126,53.2298149800475
M73,170000,230000,-8.45090045184157,53.3196631914188
M74,170000,240000,-8.45184922633141,53.4095100294011
M75,170000,250000,-8.45280311910899,53.4993554952451
M76,170000,260000,-8.45376216735727,53.5891995902138
M77,170000,270000,-8.45472640862843,53.6790423155827
M78,170000,280000,-8.4556958808484,53.7688836726397
M79,170000,290000,-8.45667062232157,53.858723662685
M80,180000,2e+05,-8.29897071916991,53.0505820856174
M81,180000,210000,-8.29959340884957,53.1404345687211
M82,180000,220000,-8.30021943978076,53.2302856823105
M83,180000,230000,-8.30084883604629,53.3201354276589
M84,180000,240000,-8.30148162196642,53.4099838060525
M85,180000,250000,-8.30211782210173,53.4998308187905
M86,180000,260000,-8.30275746125617,53.5896764671848
M87,180000,270000,-8.30340056447995,53.6795207525604
M88,180000,280000,-8.30404715707267,53.7693636762551
M89,180000,290000,-8.30469726458636,53.8592052396195
M90,190000,2e+05,-8.14985364926756,53.0508628579766
M91,190000,210000,-8.15016536567999,53.1407162547766
M92,190000,220000,-8.15047875545132,53.230568285869
M93,190000,230000,-8.1507938306423,53.3204189525556
M94,190000,240000,-8.15111060343259,53.4102682561513
M95,190000,250000,-8.15142908612221,53.5001161979843
M96,190000,260000,-8.15174929113307,53.5899627793963
M97,190000,270000,-8.1520712310104,53.6798080017416
M98,190000,280000,-8.15239491842434,53.7696518663881
M99,190000,290000,-8.15272036617147,53.8594943747168
N00,2e+05,2e+05,-8.00073491797487,53.0509567422146
N01,2e+05,210000,-8.00073564917704,53.1408104451085
N02,2e+05,220000,-8.00073638572801,53.2306627835688
N03,2e+05,230000,-8.00073712766502,53.3205137589068
N04,2e+05,240000,-8.00073787502567,53.4103633724472
N05,2e+05,250000,-8.00073862784795,53.500211625528
N06,2e+05,260000,-8.00073938617022,53.5900585195004
N07,2e+05,270000,-8.00074015003121,53.6799040557291
N08,2e+05,280000,-8.00074091947007,53.7697482355918
N09,2e+05,290000,-8.00074169452632,53.8595910604795
N10,210000,2e+05,-7.8516161813764,53.0508637359672
N11,210000,210000,-7.85130592733143,53.1407171373366
N12,210000,220000,-7.8509940106248,53.2305691730138
N13,210000,230000,-7.85068041927023,53.3204198443007
N14,210000,240000,-7.85036514116327,53.4102691525123
N15,210000,250000,-7.85004816407984,53.5001170989772
N16,210000,260000,-7.84972947567475,53.5899636850367
N17,210000,270000,-7.84940906348027,53.6798089120458
N18,210000,280000,-7.84908691490449,53.7696527813721
